id,title,description,authors,image,publisher,published_at,categories
185992,Honor Your Anger: How Transforming Your Anger Style Can Change Your Life,"Honor Your Anger is a clearly written, insightful look at a topic that concerns everyone. You can indeed learn to understand and manage your anger, and this book will show you how."" --Robert Epstein, Ph.D., West Coast Editor, Psychology Today, Director Emeritus, Cambridge Center for Behavioral Studies, University Research Professor, California School of Professional Psychology ""A critical first step for people who have trouble getting in touch with their anger and expressing it in direct and appropriate ways."" --Virginia Williams, Ph.D., coauthor of Anger Kills and Lifeskills Do you act out your anger in destructive or underhanded ways? Or do you suppress your anger and turn other people's abuse and criticism against yourself? Anger is a normal, healthy emotion. But if it's channeled in negative directions, anger can do real damage to you and your loved ones. In this provocative, healing book, psychotherapist Beverly Engel explains why your personal anger style may be hurting your relationships, your career, and yourself. She then shows you step by step how to transform a negative anger style into a positive one. Once you've discovered how to express your anger in healthy ways, you'll find that anger can empower you, motivate you to make important changes, and help you gain a sense of control over your life.",Beverly Engel,http://books.google.com/books/content?id=TpGU3feLcoUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,John Wiley & Sons,2010-12-23,Self-Help
33760,The Case of the Backward Mule,"Chow Koh Koh was a Chinese philosopher who rode his mule backwards. He claimed it made no difference where he was going. All that counted was what he did along the way. Terry Clane thought this a serene and comforting way of life. He liked it so much that he bought a small statue of Chow Koh Koh riding his mule, and gave it to his fiancée as a gift. That was Clane's mistake. Instead of a good luck symbol, it proved an omen of evil. For within a short time, Clane's favourite young lady was up to her neck in murder. And Clane's beloved statue of the peaceful and fatalistic Chow Koh Koh was covered with the blood of the killer's victim!",Erle Stanley Gardner,http://books.google.com/books/content?id=fAnyAgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Hachette UK,2014-03-14,Fiction
81581,The Three Boxes of Life and How to Get Out of Them: An Introduction to Life/Work Planning,"Explains how to identify personal goals and interests and reveals how to apply that information toward obtaining satisfying employment, with tips on interviews, salary-negotiation techniques, and career searching online.",Richard Nelson Bolles,http://books.google.com/books/content?id=ImPnGE73J9wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Random House Digital, Inc.",2012-08-14,Business & Economics
190821,Nature's Management,"History remembers Edmund Ruffin, the Virginia native believed to have fired the first shot against Fort Sumter in 1861, as one of the South's most aggressive ""fire-eaters."" This volume of Ruffin's work offers us his less known but equally intense passion for agricultural study. In carefully edited selections from Ruffin's writings, Jack Temple Kirby presents an innovative, progressive agronomist and pioneering conservationist. Arranged in sections discussing southern agricultural history, Ruffin's observations of nature, his ideas about land reform, and his plans for soil rejuvenation, Nature’s Management shows that Ruffin was a thinker far ahead of his time, recognizing our need to improve agriculture and to protect nature. Known as the ""father of soil science"" in the United States, Edmund Ruffin discovered and solved the problem of soil acidity while still in his twenties and published several papers on the subject. As the publication of his writing increased, Ruffin left his own farming business to pursue his studies. This volume contains a collection of Ruffin's essays on a variety of interrelated subjects. From the promotion of fencing and methods of malaria prevention to advocacy of a public works program and the recycling of waste, Ruffin's ideas paved the way for the early conservation movement associated with Theodore Roosevelt, Gifford Pinchot, and others. Nature's Management presents Ruffin's activism and innovative genius at its best, replacing the image of a southern firebrand with that of an outspoken reformer deserving of recognition.",Edmund Ruffin,http://books.google.com/books/content?id=K9fDmrHztpcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,University of Georgia Press,2006,Nature
11903,Drinkers of the Wind: An Afghan Odyssey,"When 19-year-old Andrea McAlister rode her horse in the dark of night on a mission to rescue a friend from the Taliban, she never dreamed she was about to be captured by a Northern Alliance mujahidin commander. The events on the Hindu Kush Pass that night marked the beginning of life changes for Andrea and Ahmed Khan Sharif. Mystery and uncertainty shadowed Andrea's and Ahmed's lives, which, while filled with violence, his was straightforward compared to hers. Neither one thought of giving up on each other, or on Afghanistan, even as tragedy entered their lives. This is a story about love and faith in the midst of Afghanistan's desperate struggle to become a civil society; about the courage needed to renounce a father whose hidden evil tormented his daughter; and about deep love and joy shared by a willful, independent spirit, and a commanding, dedicated man who gave his wife limits, yet freed her from tyranny.",Jane Parault,http://books.google.com/books/content?id=tf_hAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Publishamerica Incorporated,2005-02,Fiction
28577,Ntc's Dictionary of French Faux Pas/Common Errors of English-Speakers in French and How to Avoid Them (Language - French),"Speed up your French is a unique and innovative resource that identifies and explains the errors most commonly made by students of French. From false friends to idiomatic expressions and the use of prepositions, each of the nine chapters focuses on an aspect of the language where English speakers typically make mistakes. Full explanations are provided throughout with clear, comprehensive examples, enabling students to acquire a surer grasp of French vocabulary and idiom, as well as grammar. Key Features: carefully selected grammar topics and examples based on the most commonly made errors extensive exercises and answer key to reinforce learning, link theory to practice and promote self-study use of mnemonic devices, including visual illustrations, to aid understanding Supplementary exercises and answer key available at www.routledge.com/cw/Jubb Suitable both for classroom use or self-study, Speed up your French is the ideal resource for all intermediate learners of French wishing to refine their language skills.",Margaret Jubb,http://books.google.com/books/content?id=vn37CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Routledge,2016-04-14,Foreign Language Study
195894,Platelet Protocols: Research and Clinical Laboratory Procedures,"Platelets are fragments of blood cells that occur in the blood of vertebrates and are associated with blood clotting. Scientists have made great strides in recent years in understanding what stimulates platelets to form blood clots at the molecular level and in developing drugs to inhibit platelet action. Their work has a direct effect on millions of people who deal with cardiovascular disease, strokes, surgery, physical trauma, and other conditions. While references to platelet function have been included in some large texts, there has not been a basic reference manual that researchers and clinicians can use in their daily work until now. Platelet Protocols fills the need for a straightforward and comprehensive laboratory manual on current procedures for evaluating and analyzing platelet function and abnormalities. It is an easy-to-read, understandable resource which can be kept at the bench and referred to frequently by scientists, clinicians, and laboratory staff involved in platelet related areas. Topics range from the basics of anticoagulants to the latest developments in platelet testing. Includes: A basic introduction to platelet anatomy and physiology Testing procedures for new anti-platelet therapies Descriptions of platelet function abnormalities Therapeutic approaches to inhibition of platelet function Step-by-step methodologies with clear explanations Helpful appendixes of recipes, instructions, sources of reagents, and more",Melanie McCabe White| Lisa K. Jennings,http://books.google.com/books/content?id=k6GA4vwVTKwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Elsevier,1999-04-21,Science
61129,flatnessisgod,"Flatnessisgod is about the basic practice of seeing and understanding how we construct and consume a picture plane. It is the graphic equivalent of the artist's book. Ryan McGinness subverts commercialism through oversaturating the eye with public domain imagery. Well respected and known throughout the commercial world, his clients include IBM, SEGA, Sire, MTV and Geffen. Contents include logo development, Graffiti tags, Art Haiku Alien Conspiracy Theories and Groundbreaking layouts.",Ryan McGinness,http://books.google.com/books/content?id=vXFLAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Soft Skull Press,1999,Art
138831,The Yellow Star The Persecution of the Jews in Europe 1933 - 1945,"Photograph, page after page, the Shoah unfolds as inexorable horror-captured with resonance that remains unequaled.",Gerhard Schoenberner| Michael Berenbaum,http://books.google.com/books/content?id=-vW7cG2xi4wC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Fordham Univ Press,2004,History
192458,"Paradoxes of Delusion: Wittgenstein, Schreber, and the Schizophrenic Mind","Insanity—in clinical practice as in the popular imagination—is seen as a state of believing things that are not true and perceiving things that do not exist. Most schizophrenics, however, do not act as if they mistake their delusions for reality. In a work of uncommon insight and empathy, Louis A. Sass shatters conventional thinking about insanity by juxtaposing the narratives of delusional schizophrenics with the philosophical writings of Ludwig Wittgenstein.",Louis A. Sass,http://books.google.com/books/content?id=AJVlDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Cornell University Press,2018-08-06,Psychology
98376,"Open Bible, The: The New King James Version","The study Bible that gets you quickly and fully into the Word. Find what you need! The Open Bible, New King James Version is designed for the hungry reader. This Bible is filled with amazing study aids including comprehensive book introductions and outlines, 64-page concordance, Read-Along references and translation notes, and the classic Biblical Cyclopedic Index covering more than 8,000 textual entries. The Open Bible, New King James Version also features a seven-step method on How to Study the Bible, a Visual Survey of the Bible, The Christian's Guide to the New Life, and The Greatest Archaeological Discoveries of the Bible. This outstanding Bible is available in hardcover and bonded leather. Features include: New King James Version« (NKJV) text Biblical Cyclopedic Index Christian's Guide to the New Life Visual Survey of the Bible Book introductions and outlines Concordance Part of the Signature Series line of Thomas Nelson Bibles. Open Bibles sold to date: More than 3 million The New King James VersionùMore than 60 million copies sold in 30 years",Thomas Nelson,http://books.google.com/books/content?id=YfFrgKGNvskC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Thomas Nelson,2006-04-09,Bibles
13504,A Basic Guide to Bobsledding (U.S. Olympic Sports Series),"Strength, stamina, courage, concentration, preparation and lightning-quick reflexes -- bobsledders need all these qualities and more. This book offers a clear, concise introduction to one of the most challenging and technically advanced of all Olympic events. Special features include: The revolutionary Bo-Dyn sled; US men's and women's Bobsledding teams in action; Rules of international competition; How to become a successful bobsledder; Skeleton -- the world's first sliding sport.",Us Olympic Committee,http://books.google.com/books/content?id=AzkBIAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Griffin Publishing Group,2001-11-01,Sports & Recreation
170317,Mazda RX-7 Performance Handbook (Motorbooks Workshop),"High-performance tweaks for the most popular cars and motorcycles. Tips and techniques from the experts will help you maximize the horsepower, handling, and appearance of your car.",Mike Ancas,http://books.google.com/books/content?id=ibfdngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Motorbooks International,2000,Transportation
97708,"Eighteen Woody Allen Films Analyzed: Anguish, God and Existentialism","This new textbook is an abridgment of the author's earlier Woody Allen's Angst: Philosophical Commentaries on His Serious Films (McFarland, 1997; ""invaluable""--Choice.) Five main topics are explored: the desire of many of his characters to ground their lives in traditional ethical values despite their realization that such values may no longer be certain; the opposition between pessimism and optimism throughout his films; gender issues relating to romantic love, sexual desire and the ongoing changes in our cultural expectations of both men and women; the idea that contemporary American society is rapidly descending into barbarism precisely because of societal failure to maintain a sense of individual moral responsibility; and a critique of psychoanalysis as a method for understanding human behavior. Instructors considering this book for use in a course may request an examination copy here.",Sander H. Lee,http://books.google.com/books/content?id=XEXck6-GreQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,McFarland,2015-10-02,Performing Arts
5362,"Management Information Systems for the Information Age, Second Edition",Chapters cover what instructors want students to know about MIS while Extended Learning Modules (XLMs) show students what they can do with MIS. A contemporary writing style and a wealth of examples engage students. Arranged with chapter opening cases that highlight how an organization has successfully implemented many of the chapter’s concepts and chapter closing cases that help students apply what they just learned gives students the hands-on knowledge that is applicable in both their personal and professional experiences.,Stephen Haag| Maeve Cummings,http://books.google.com/books/content?id=PGQ9PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,McGraw-Hill/Irwin,2009-11-11,Computers
188190,How To Control Your Anxiety Before It Controls You,"Learn to manage your anxiety with this classic self-help book from a respected pioneer of psychotherapy. From social anxiety to phobias to post-traumatic stress disorder, sources of anxiety in daily life are numerous, and can have a powerful impact on your future. By following the rules of Rational Emotive Behavior Therapy (REBT), created by world renowned therapist Dr. Albert Ellis, you can stop anxiety in its tracks if you will admit this important fact: Things and people do not make you anxious. You do. Your unrealistic expectations produce your needless anxiety. Yet not all anxiety is needless . . . Healthy anxiety can ward off dangers and make you aware of negative things that you can change. Unhealthy anxiety inhibits you from enjoying everyday activities and relationships, causes you to perform poorly, and blocks your creativity. Using the easy-to-master, proven precepts of REBT, this classic book not only helps you distinguish between healthy and unhealthy anxiety, but teaches you how to: • Understand and dispute the irrational beliefs that make you anxious • Use a variety of exercises, including rational coping self-statements, reframing, problem-solving methods, and Unconditional Self-Acceptance (USA), to control your anxiety • Apply over two hundred maxims to control your anxious thinking as well as your bodily reactions to anxiety . . . and much more, including examples from dozens of cases Dr. Ellis treated successfully. Now you can overcome the crippling effects of anxiety—and increase your prospects for success, pleasure, and happiness at home and in the workplace. “No individual—not even Freud himself—has had a greater impact on modern psychotherapy.” —Psychology Today",Albert Ellis,http://books.google.com/books/content?id=GiioCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Citadel Press,2016-06-28,Self-Help
137302,Revisions: Seeing Torah Through a Feminist Lens,"This new interpretation of the Torah provides ways to understand biblical women, taboo issues, and the connections between women and the deity.",Elyse Goldstein,http://books.google.com/books/content?id=WMcWfLi4gnsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Jewish Lights Publishing,2001,Religion
6728,Neither Five Nor Three,"Paul Haydn was on his way home at last, to New York and the civilian life he longed for, after years of War. Yet he would never forget the tormented people, desperate for refuge in Berlin. They had survived the War - but now a new, sinister presence threatened them, their families, the whole of society. Now he discovered that, back home, some of his former colleagues had dangerous political sympathies, that someone was trying to discredit the woman he had once loved. The pattern seemed suddenly familiar. He began to realise why there was such interest in his counter-propaganda skills.",Helen Macinnes,http://books.google.com/books/content?id=9u5OEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Titan Books (US, CA)",2013-11-12,Fiction
53308,Blood & Silk,"Jazz Dent has never been closer to catching his father. Jazz has been shot and left to die in New York. His girlfriend, Connie, is in the clutches of Jazz's monstrous father, Billy--the world's most notorious serial killer. And his best friend, Howie, is bleeding to death on the floor of Jazz's new home. Somehow, these three must rise above the horrors and find a way to come together in pursuit of Billy. But then Jazz crosses a line he's never crossed before, and soon the entire country is wondering: ""Like father, like son? Who is the true monster?"" From New York City to the small town of Lobo's Nod, the chase is on, and this time, Jazz is the hunted, not the hunter--while Billy Dent lurks in the shadows. And beyond Billy? Something much, much worse. Prepare to meet...the Crow King. From acclaimed author Barry Lyga comes the shocking conclusion to the bestselling I Hunt Killer trilogy.",Barry Lyga,http://books.google.com/books/content?id=PGMNrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Little, Brown Books for Young Readers",2015-10-06,Juvenile Fiction
4389,The Nutcracker,"New York Times bestselling artist and Caldecott Honor winner Susan Jeffers has created a Nutcracker as only she can—with lavish illustrations, magnificent detail, and enchanting holiday scenes on every page. This is The Nutcracker as you’ve never seen it before! Join Marie, Fritz, and the intriguing Nutcracker himself on a magical Christmas Eve adventure. Behold the frightful Mouse King, the elegant Sugar Plum fairies, and the entire Land of Sweets in this dazzling, gorgeously illustrated holiday classic. With spare text based on the story in the ballet, this book offers a front-row seat to the enthralling tale that is a perennial favorite of adults and children alike. And for Susan Jeffers fans looking for extra content, an author’s note is included at the end of the book, in which she explains what inspired her to turn this holiday tradition into a show-stopping picture book.",Susan Jeffers,http://books.google.com/books/content?id=sqnzAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,HarperCollins,2014-11-04,Juvenile Fiction
140314,Roger Sessions on Music: Collected Essays,"Over the past fifty years Roger Sessions has developed, in articles, lectures, and addresses, various themes that reflect the stages of his own musical and intellectual growth. These themes form the basis of the present collection of essays. Many of the essays deal with specific problems that musicians, especially composers, have faced during the past five decades: problems related to new musical styles and techniques, to the position of composers in society, to their responsibilities as teachers, to their role during the period of the world wars, to the mutual reactions of composer and audience, and to the basic questions of musical form and expression. The collection also includes a set of critical essays on such seminal figures as Bloch, Schoenberg, and Stravinsky. Roger Sessions is the composer of a recently recorded cantata on Whitman's ""When Lilacs Last in the Dooryard Bloom'd"" as well as numerous other works. He is the author of The Musical Experience of Composer, Performer, and Listener (Princeton). Originally published in 1979. The Princeton Legacy Library uses the latest print-on-demand technology to again make available previously out-of-print books from the distinguished backlist of Princeton University Press. These editions preserve the original texts of these important books while presenting them in durable paperback and hardcover editions. The goal of the Princeton Legacy Library is to vastly increase access to the rich scholarly heritage found in the thousands of books published by Princeton University Press since its founding in 1905.",Roger Sessions,http://books.google.com/books/content?id=zJp9BgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Princeton University Press,2015-03-08,Music
98079,Milk Thistle (Woodland Health Ser),"Health experts have long recognized the importance of a healthy liver in proper digestion and metabolism. Louise Tenney, MH, investigates how milk thistle, also known as silymarin, enhances liver function for optimal liver health. She also covers milk thistle's history, traditional and contemporary uses, and other therapeutic applications. Look inside for more information on how milk thistle can help you.",Woodland Publishing| Louise Tenney,http://books.google.com/books/content?id=fwsSd15bDkEC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Houghton Mifflin Harcourt,1995-12,Health & Fitness
62231,Parables of the Forest,"Looks for parables of faith in rainforests, avalanches, and the eruption of Mt. St. Helens",Pamela Reeve| Larry R. Libby,http://books.google.com/books/content?id=HeQIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Multnomah,1989,Religion
41073,A walk across America,"Twenty-five years ago, a disillusioned young man set out on a walk across America. This is the book he wrote about that journey -- a classic account of the reawakening of his faith in himself and his country. ""I started out searching for myself and my country,"" Peter Jenkins writes, ""and found both."" In this timeless classic, Jenkins describes how disillusionment with society in the 1970s drove him out onto the road on a walk across America. His experiences remain as sharp and telling today as they were twenty-five years ago -- from the timeless secrets of life, learned from a mountain-dwelling hermit, to the stir he caused by staying with a black family in North Carolina, to his hours of intense labor in Southern mills. Many, many miles later, he learned lessons about his country and himself that resonate to this day -- and will inspire a new generation to get out, hit the road and explore.",Peter Jenkins,http://books.google.com/books/content?id=puu8bjLca94C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Harper Collins,2001-09-18,History
202612,The Mid-Atlantic States: The Smithsonian Guide to Historic America (Vol 3),"Incorporating more than 3,000 illustrations, Kornwolf's work conveys the full range of the colonial encounter with the continent's geography, from the high forms of architecture through formal landscape design and town planning. From these pages emerge the fine arts of environmental design, an understanding of the political and economic events that helped to determine settlement in North America, an appreciation of the various architectural and landscape forms that the settlers created, and an awareness of the diversity of the continent's geography and its peoples. Considering the humblest buildings along with the mansions of the wealthy and powerful, public buildings, forts, and churches, Kornwolf captures the true dynamism and diversity of colonial communities - their rivalries and frictions, their outlooks and attitudes - as they extended their hold on the land.",James D. Kornwolf| Professor James D Kornwolf| Georgiana Wallis Kornwolf,http://books.google.com/books/content?id=4bHwImC-UOUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,JHU Press,2002,Architecture
72672,Synchronicity as Spiritual Guidance: All of Life's Working Together to Leave Your Little Hints,"Coincidences, synchronicities, and dreams bear marked similarities. They often catch us off guard, and we tend to easily discount them without giving them much thought. The signs and symbols involved are considered to be guideposts for the wise as they each hold much meaning and significance if we are open and receptive to their messages.",Dr. Sherry L. Meinberg,http://books.google.com/books/content?id=m_W_DAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,AuthorHouse,2016-07-08,Self-Help
110352,Green Chile Bible: Award-Winning New Mexico Recipes,Award Winning New Mexico Recipes.,Tim Galagher,http://books.google.com/books/content?id=thKGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Clear Light Pub,1994,Cooking
