id,authors
3327,Siva Vaidhyanathan
79548,Ben Watson
186687,Haruki Murakami
152187,Rita Robinson
107224,Mike Heneberry
65425,Mike Venezia
199225,John R. Kohlenberger
119802,David Schap
59709,James Holland
150288,Gary Soto
12980,Victoria Blake
14514,Frank Holloway
116297,Douglas Lawson Wilson| Rodney O. Davis| Terry Wilson| William Henry Herndon| Jesse William Weik
47418,Peggy Parish
13463,Diane Grindol| Tom Roudybush
33444,Dan Dale Alexander
126839,Edwin F. Becker
108452,Donald Rothberg
170718,Regina Doman
132522,Blaise Pascal
194301,Jenny March
154138,Norman Medoff| Edward J. Fink
93907,CJ Redwine
115923,Reginald Gibbons
102543,Michal Glowinski| Marci Shore
117135,Ning Wang
125665,Carolyn Ford Brunetto| James Levin
15305,Gary Dorrien
2150,Lee Child
212167,Michael Chanan
141191,Jon Pahl
102304,Gary Paulsen
70293,Vijaya Ramaswamy| Jawaharlal Nehru University
34892,John Stanley
201093,Yaël Dayan
135661,Effie A. Velardo
159697,Bob Greene| D. G. Fulford
148113,Julie Davis
12572,James Axler
150118,Heidi McLaughlin
59289,Diana Wynne Jones
23718,Stephen Olford| David Olford
136494,Carter Lindberg
82782,Alan Leo
61083,Bartholomew Gill
184172,Minoru Kiyota
51397,Leisure Arts
82475,Jeff Guinn
167965,Brooke Allen
74577,graf Leo Tolstoy| Louise Maude
155636,Philip G. Ryken
197741,Neil McDonald
20853,Katherine A. Dettwyler
1036,Astrid Holleeder
161292,Philip Holden
176816,Tommy Tenney
130328,Stephen Hunter
190479,Tina Skinner
57363,Jacob Robinson
155372,Emilie Baker Loring
43552,Gregory J. Blencoe
29773,Elsebeth Egholm
159275,Pierpaolo R. Palmieri
91072,Francis King
145902,William A. McKenzie
35123,A.G. Williams| Emmanuel Gustin
152913,Robert P. Wilkins| Wynona H. Wilkins
157346,M.P.H. Waterhouse| R Debra
167288,Michael Congdon
183257,Will James
137426,Rozanne Lanczak Williams
91750,Nancy Rubin
188770,Dallas W. Isom
146688,Corrado Poli
58480,Michelle Larks
1205,Shams al-Dīn Aḥmad Aflākī| Jalāl al-Dīn Rūmī (Maulana)
95760,Stephanie L. Derrick
10757,Christopher Cunningham
158559,Richard A. Silverman
60363,Baiceng Lou
133811,Fulton John Sheen
32965,Nicholas Woodhouse
14347,Gabriele L. Rico
64897,Joseph Heller
197601,Elizabeth Crook
19698,Frank Close
98328,Lewis C. Epstein
169163,Anne McCaffrey
35833,Paul Bowles
133303,Lynn Picknett| Clive Prince
42983,Rob Jenkins| Staci Johnson
144095,Orison Swett Marden| Joseph Francis MacGrail
189408,John S. Mason
7964,Oliver Dimon Kellogg
164628,Brandon Bays
45193,Richard Barker| Paul Massiglia
161696,Merold Westphal
56781,Jerome Beaty
72863,Mrs. Charles H. Ashdown
28431,John Tincey
181376,C. M. Reed
78223,Peter Fraenkel
83596,Harry Craddock
150418,Paula K. Rauch| Anna C. Muriel
128541,Alayna
21272,Tim Taylor
209099,Martina Murphy
69505,Gary L. Harbaugh
166596,Margaret D. LeCompte| University of Colorado| Boulder| Jean J. Schensul| Institute for Community Research| Bonnie K. Nastasi| Stephen P. Borgatti
132989,Barbara Lazear Ascher
127425,Stacy McLaughlin PH. D.| Stacey J. McLaughlin
103180,Robert McConnell Productions
166365,Wendy Pini| Richard Pini
26363,John Wesley| Robert Wallace Burtner
131750,George Bernard Shaw| Dan H. Laurence
129311,Los Angeles County Museum of Art| Edward Maeder
30754,Judith Viorst
162039,David Riesman| Nathan Glazer| Reuel Denney
367,Brian H. Jones
97098,Dorothy L. Sayers
188259,Vinita Hampton Wright
46888,Stephanie Sammartino McPherson
33576,Laurence G. Britton
56039,Bethany Anderson
191564,Tom Stonehouse| Eldon Brumbaugh
28841,Josepha Sherman| Gwen Hansen
34655,George Santayana
195209,Lauren Owen
134376,Tom Clancy
136161,Heather Mac Donald
117429,Joanne Pence
13813,Robley Wilson
131138,Frances Evesham
31406,Glenn D. Walters
103603,Tim Halliday
37991,Nancy Lonsdorf
76461,Jan Mahnken
157690,Gooseberry Patch
201373,Sergius Kagen
150895,Francis Bellamy| Bill Martin| Michael R. Sampson| Christopher Raschka
161389,Audrey Howard
67894,Allan G. Bogue
163104,Penelope Fitzgerald
54715,Sarah Lynch
168821,Dr. R. Scott Pace
131208,Sonal Bhatt
1981,James T. Patterson
177061,Lyn Andrews
22677,Allen Eskelin
31357,David Lee
190948,Sylvia Browne
80638,Lisa René Reynolds
171907,Casey Treat
18241,Veronica L. Fowler
191048,Paul Cook
130136,Timothy Christian Lethbridge| Robert Laganière
188427,Ulysses Simpson Grant
68273,Steven P. Shelov
171243,Bernhard W. Anderson
16829,Anna
